id,treatment,sex,prl,cort,p4,e2t
s.pu.pk,prolong,female,84.42,2.706985428,0.661518722,0.079712875
x.blk20,prolong,female,85.62,1.655056316,0.290582273,0.067524895
x.g50,prolong,female,44.23,2.411689537,0.293253549,0.040930954
x.y145.r55,prolong,female,78.75,3.017080621,0.243033776,0.09647916
y146.r32.x,prolong,female,86.71,1.08873012,0.115276421,0.040647131
blk.s030.o.g,prolong,male,35.27,1.748194431,1.973270864,1.09734505
g.y.o.s,prolong,male,3.78,1.857900676,0.36461598,4.563717932
g38.x,prolong,male,61.35,0.656453064,2.169413102,1.228304102
l.s080.blk.r,prolong,male,4.66,2.017334828,0.88943032,2.845579898
o114.blu9,prolong,male,85.17,1.983780428,0.242451806,3.113357007
pk.s.d.g,prolong,male,93.7,0.907536912,0.992539502,1.9362491
r81.x,prolong,male,47.51,1.989585049,1.616218569,0.277145041
r90.x,prolong,male,64.08,0.943998309,0.277037866,1.21665159
x.blu57,prolong,male,73.62,7.342908328,0.265541544,1.62406011
x.y79,prolong,male,74.77,3.498404941,0.103783643,0.375351808
NA,m.n2,female,30.85,1.658319,0.407671452,0.165698199
blk11.x,bldg,female,9.32,0.533776389,0.128435322,0.183025323
blu38.g135.x,bldg,female,20.37,0.757011001,0.571257189,0.703096088
g141.blu27.x,bldg,female,3.89,4.786075607,0.100106664,0.161187691
l.s120.y.blk,bldg,female,20.53,0.485549772,0.23029791,0.041515661
o38.blu29.x,bldg,female,8.15,1.09492579,0.310904379,0.240469199
r.s056.g.o,bldg,female,14.38,0.979473768,2.477182407,0.835757718
r83.g45,bldg,female,29.8,1.889350896,0.559878442,0.932986992
s063.d.blk.l,bldg,female,8.06,0.942648981,0.191994373,0.160335132
s092.blk.r.o,bldg,female,8.12,0.891396125,1.842237115,0.071243085
x.r39.g10,bldg,female,3.58,0.840892955,0.35846196,0.262663109
blu114.r38.w198,bldg,male,5.56,4.291788132,0.123557331,0.904672467
blu33.y88.x,bldg,male,6.36,1.828215302,0.294066562,0.290325237
g104.w82.x,bldg,male,5.54,1.539611415,1.151277474,1.32876079
g52.blu58,bldg,male,6,1.427503402,1.385317817,0.445867085
r.s059.d.o,bldg,male,3.13,1.414840487,0.473558131,1.536617303
s.pu148.blk.r,bldg,male,3.59,117.7709097,0.473558131,0.345106208
s065.l.d.o,bldg,male,12.3,2.227035346,0.287891067,4.795860038
s066.l.d.r,bldg,male,10.42,1.115481732,0.190803005,3.341892426
x.o30.g134,bldg,male,7.37,0.871687563,0.218628513,1.536617303
x.r67.blu35,bldg,male,6.05,0.866436303,0.136923277,0.84045417
R.G106,control,female,16.73,1.321874327,0.457540909,0.20291406
R.R20,control,female,38.63,0.591740661,1.987782944,0.083921747
R.R9,control,female,34.14,1.142658641,2.858559469,0.075316037
R.W44,control,female,56.98,1.433653338,0.170879471,0.392959499
blu.o.x.ATLAS,control,female,85.28,0.817578332,0.28788884,0.059269466
r.r.x.ATLAS.R2XR,control,female,36.15,0.84,0.656652946,0.115269543
r.r.x.ATLAS.R2XR,control,female,22.83,0.979979311,1.356917476,0.036723922
r.r.x.ATLAS,control,female,36.15,0.84,0.656652946,0.115269543
r.r.x.ATLAS,control,female,22.83,0.979979311,1.356917476,0.036723922
s.x.ATLAS,control,female,39.49,0.897142061,3.832743751,0.052197545
w191.r1,control,female,4.2,1.434209445,0.603291478,0.039674073
L.Blu13,control,male,3.02,1.154019089,0.335616333,0.335770406
L.G107,control,male,20.11,1.213103801,0.233203806,0.487544559
L.R3,control,male,2.88,0.917283674,0.228395524,0.27723432
L.R8,control,male,17.88,1.815394571,0.698451075,0.829029377
L.W33,control,male,72.25,0.830650125,0.249335741,0.366962646
L.W3,control,male,4.27,1.17,0.487857371,0.444907449
L.W4,control,male,2.02,0.912850671,0.288651096,0.900104838
R.Y108.W29,control,male,5.38,0.95536916,0.374048555,2.200019855
x.blk.blk.ATLAS,control,male,4.15,0.850483345,0.473444794,1.001124015
x.blu.o.ATLAS,control,male,14.92,1.443938337,0.308975809,3.051120065
x.g.ATLAS,control,male,3.83,0.589956834,0.382478504,0.186722692
x.g.g.g.ATLAS,control,male,25.35,1.03,0.400089566,1.73723184
blk21.x,hatch,female,86.72,3.247187942,0.262000809,0.322931078
blu103.x,hatch,female,42.47,1.388756175,1.454389627,0.202442577
blu124.w180.x,hatch,female,93.48,4.334516836,0.484782388,0.994276676
o172.w115.x,hatch,female,63.41,1.438779342,0.12655177,0.140386018
r183.o22,hatch,female,80.77,3.090189599,0.311848932,0.188040203
x.o37.blu50,hatch,female,58.68,1.695390838,0.88454451,0.307362873
x.r44.w95,hatch,female,92.22,2.582412477,1.361660603,0.215699355
x.y90,hatch,female,92.91,1.924041003,1.435169886,0.14692331
y15.x,hatch,female,71.09,3.433226862,1.639952067,0.248203766
blu104.w120.x,hatch,male,56.98,2.152752854,1.678750554,0.136721878
g114.w83.x,hatch,male,29.05,3.336004385,0.119211388,3.211480029
g53.y84,hatch,male,87.14,0.903546065,0.906587092,0.165062638
o39.y77.x,hatch,male,81.49,1.994435524,1.348831794,0.422906299
o44.blu26.x,hatch,male,84.44,0.957200051,0.686555208,0.110136219
r41.w99.x,hatch,male,77.01,5.081471812,0.300496151,1.225779246
r72.y83.x,hatch,male,85.15,2.994159834,0.123830213,0.119835774
x.g70,hatch,male,90.94,0.869591861,1.242816777,2.128348217
x.o160.w102,hatch,male,65.24,1.123182974,0.339220259,2.290113695
x.r178,hatch,male,74.31,1.545899767,0.119252645,2.447408466
g142.r40.x,inc.d17,female,113,1.411796135,0.192549725,0.14434064
o35.r51.x,inc.d17,female,38.03,1.478160864,0.14079615,0.626673063
o52.blu53,inc.d17,female,19.03,1.743171282,1.133964107,0.297524183
r49.w189.x,inc.d17,female,94.75,5.949296081,0.186137873,0.159154196
x.blu116.w107,inc.d17,female,76.69,2.967750473,0.465733895,0.245619257
x.o159.w90,inc.d17,female,62.37,1.383050847,0.279364353,0.056838331
x.r48.y139,inc.d17,female,89.04,3.259350304,1.659202433,0.148279778
y126.w92.x,inc.d17,female,72.34,1.731925747,0.141931437,0.147264259
y130.o170.x,inc.d17,female,98.98,4.479875259,0.551210268,0.57498105
y135.blu107.x,inc.d17,female,81.04,1.615436155,0.23497029,0.15381832
y136.x,inc.d17,female,14.47,1.154447212,0.137212313,0.147318751
blk17.x,inc.d17,male,97.43,1.85817094,1.327718049,2.160743394
blu113.w124.x,inc.d17,male,60.09,6.628547064,0.702709012,1.386502248
blu121.w91.x,inc.d17,male,68.15,1.673698729,0.702709012,0.297541947
